context,question,answer
"标题：理性看个别创投机构退出人形机器人赛道 不能以短期落地能力来否定长期发展潜力
内容：【理性看个别创投机构退出人形机器人赛道 不能以短期落地能力来否定长期发展潜力】今年以来，人形机器人相关产业热度攀升，备受市场关注。日前，金沙江创投主管合伙人朱啸虎“我们正批量退出人形机器人公司”的观点引发行业热议。此后，A股市场人形机器人概念板块上演了一波“冷热交替”行情——先是接连多日下跌，后又重启上涨模式。",金沙江创投主管合伙人朱啸虎关于人形机器人的观点是什么？,金沙江创投主管合伙人朱啸虎表示“我们正批量退出人形机器人公司”。
"标题：白宫新闻秘书LEAVITT：马斯克将在他的工作完成后离开政府效率部
内容：白宫新闻秘书LEAVITT表示，马斯克将在他的工作完成后离开政府效率部。",马斯克将在什么时候离开政府效率部？,在他的工作完成后。
"标题：亚马逊日内涨幅扩大至3%
内容：【行情】亚马逊日内涨幅扩大至3%。",亚马逊的日内涨幅扩大到了多少？,3%
"标题：亚马逊：将发送27枚Kuiper卫星到近地点低轨道
内容：【亚马逊：将发送27枚Kuiper卫星到近地点低轨道】亚马逊表示，将发送27枚Kuiper卫星到近地点低轨道。4月9日（下周三）将发射（一系列）Kuiper宽频卫星。",亚马逊计划发送多少枚Kuiper卫星到近地点低轨道？,27枚。
"标题：周三美联储隔夜逆回购协议（RRP）使用规模为2334.88亿美元
内容：周三美联储隔夜逆回购协议（RRP）使用规模为2334.88亿美元。",美联储隔夜逆回购协议在周三的使用规模是多少？,2334.88亿美元。
"标题：特朗普公布关税前市场情绪紧张 美股三大指数低开高走
内容：特朗普公布关税前市场情绪紧张，美股三大指数低开高走，截至发稿，道指涨0.74%，纳指涨1.27%，标普500指数涨0.88%。个股方面，特斯拉涨超3%，第一季度交付量336681辆，不及市场预期。有消息称，美国总统特朗普告诉他身边的人，马斯克将很快离开。马斯克将在未来几周内从目前的政府效率部（DOGE）管理合伙人职位上退下来。",特斯拉第一季度的交付量是多少？,336681辆。
"标题：加拿大跨山输油管道下调了2025年、2026年和2027年的收入预测
内容：【加拿大跨山输油管道下调了2025年、2026年和2027年的收入预测】加拿大跨山输油管道下调了2025年、2026年和2027年的收入预测。预测2025年容量为84%，2026年为88%，2027年为92%，低于之前预测的96%。",加拿大跨山输油管道预测2027年的容量是多少？,92%
"标题：以总理称将打造第二个“费城走廊” 分割加沙地带
内容：【以总理称将打造第二个“费城走廊” 分割加沙地带】当地时间4月2日下午，以色列总理内塔尼亚胡发表视频讲话。他表示，在对加沙地带的军事行动中，以军除占领土地、打击武装人员及摧毁基础设施之外，正在夺取所谓的“莫拉格走廊”（Morag Corridor）。所谓的“莫拉格走廊”是指连接加沙地带南部拉法与汗尤尼斯之间的通道。内塔尼亚胡在讲话中将以军针对“莫拉格走廊”的行动形容为打造第二个“费城走廊”，而“费城走廊”则是指连接加沙地带和埃及的战略通道。内塔尼亚胡在讲话中强调，以军正在逐步施加军事压力、分割加沙地带，以不断向哈马斯施压，直到其释放以色列被扣押人员为止。他表示，以色列决心实现其战争目标。",以色列总理内塔尼亚胡提到的“莫拉格走廊”连接加沙地带的哪两个地方？,连接加沙地带南部拉法与汗尤尼斯之间的通道。
"标题：光伏组件厂家“爆单”！新能源项目现“抢装潮”？业内人士分析
内容：【光伏组件厂家“爆单”！新能源项目现“抢装潮”？业内人士分析】在电力市场，多个部门今年出台改革方案，推动我国新能源行业全面步入市场化新阶段。新政策执行新老划断，2025年6月1日以前投产的新能源存量项目，通过开展差价结算，实现电价与现行政策妥善衔接；6月1日及以后投产的新能源增量项目将参与市场化交易。记者在江苏、广东等地调研发现，大量新能源企业为了追求存量政策的保障，正在加速建设。",为什么2025年6月1日之前投产的新能源项目会受到企业的青睐？,因为2025年6月1日以前投产的新能源存量项目可以通过开展差价结算，实现电价与现行政策的妥善衔接，从而获得存量政策的保障。
"标题：特朗普公布关税前市场情绪紧张 美股三大指数低开高走
内容：特朗普公布关税前市场情绪紧张，美股三大指数低开高走，截至发稿，道指涨0.38%，纳指涨0.72%，标普500指数涨0.46%。个股方面，特斯拉涨超3%，第一季度交付量336681辆，不及市场预期。有消息称，美国总统特朗普告诉他身边的人，马斯克将很快离开。马斯克将在未来几周内从目前的政府效率部（DOGE）管理合伙人职位上退下来。",特斯拉第一季度的交付量是多少？,336681辆
"标题：安联首席经济学家：预计美联储将在2025年降息一次
内容：【安联首席经济学家：预计美联储将在2025年降息一次】安联首席顾问埃尔埃利安预计美联储今年只会降息一次，这与市场和美联储的预期形成了鲜明对比。市场已经完全定价了2025年至少两次降息的预期，而且很可能还会有第三次降息。总的来说，他们预计今年将降息约70个基点，7月份首次降息25个基点。与此同时，美联储最新的点阵图只要求降息两次。埃利安说，美联储“本质上是鸽派”，他补充说，他担心美联储无视疲软的经济数据，在真正了解这些关税的细节以及各国将如何应对之前，称即将征收的关税是暂时的。",安联首席经济学家预测美联储在2025年会降息几次？,安联首席经济学家预测美联储在2025年会降息一次。
"标题：美国参议院多数党领袖舒默：每天都在努力向公众传达特朗普政策对他们的负面影响
内容：【美国参议院多数党领袖舒默：每天都在努力向公众传达特朗普政策对他们的负面影响】美国参议院多数党领袖舒默表示，每天都在努力向公众传达特朗普政策对他们的负面影响。在某些特定领域，确实有一些关税是合理的，但美国政府的笼统做法存在缺陷，缺乏仔细考虑。",美国参议院多数党领袖舒默对特朗普政策的态度是什么？,每天都在努力向公众传达特朗普政策对他们的负面影响，认为美国政府在某些领域的笼统做法存在缺陷，缺乏仔细考虑。
"标题：特朗普公布关税前市场情绪紧张 美股三大指数低开高走
内容：特朗普公布关税前市场情绪紧张，美股三大指数低开高走，截至发稿，道指涨0.24%，纳指涨0.53%，标普500指数涨0.35%。个股方面，特斯拉涨超5%，第一季度交付量336681辆，不及市场预期。有消息称，美国总统特朗普告诉他身边的人，马斯克将很快离开。马斯克将在未来几周内从目前的政府效率部（DOGE）管理合伙人职位上退下来。",特斯拉第一季度的交付量是多少？,336681辆
"标题：特朗普与米尔班克律师事务所达成协议
内容：【特朗普与米尔班克律师事务所达成协议】美国总统特朗普周三表示，他已与米尔班克（Milbank）律师事务所达成协议，要求该事务所在他的第二任期内提供总额至少1亿美元的无偿法律服务。",特朗普与哪家律师事务所达成了提供无偿法律服务的协议？,米尔班克（Milbank）律师事务所
"标题：丹麦首相访问格陵兰岛 重申格陵兰岛是“非卖品”
内容：【丹麦首相访问格陵兰岛 重申格陵兰岛是“非卖品”】丹麦首相弗雷泽里克森当地时间4月2日到访格陵兰岛。她在格陵兰岛首府努克举行的新闻发布会上表示，格陵兰岛正在经历非常困难的时期，“我们需要团结在一起”。她表示，当格陵兰岛陷入困境时，丹麦王国和欧洲也会陷入困境。格陵兰岛是“非卖品”。“格陵兰岛是格陵兰人的，美国不应该接管格陵兰岛。当然，这也是我们在接下来的几天里将共同传达的信息，鉴于美国在主权、边界和未来问题上对格陵兰岛施加的压力，我们必须站在一起。”",丹麦首相在访问格陵兰岛时重申了什么立场？,格陵兰岛是“非卖品”，是格陵兰人的，美国不应该接管格陵兰岛。
"标题：国际原油期货结算价收涨
内容：【国际原油期货结算价收涨】国际原油期货结算价收涨。WTI 5月原油期货收涨0.51美元，涨幅0.72%，报71.71美元/桶。",国际原油期货结算价收涨，WTI 5月原油期货的涨幅是多少？,WTI 5月原油期货涨幅为0.72%。
"标题：以防长称黎南部或需3至5年完成重建 届时民众才能返回
内容：【以防长称黎南部或需3至5年完成重建 届时民众才能返回】以色列国防部长卡茨当地时间4月2日访问了以军在黎巴嫩南部设置的一处哨所。卡茨对随行记者证实，在此前以军发动的针对黎巴嫩南部的军事行动中，黎南部地区遭到大面积破坏，可能需要3到5年的时间才能完成重建，届时黎南部民众才能返回。在以黎达成停火之后，今年2月，以军从黎南部撤离，但在黎方一侧建立并保持5个军事哨所。对此，卡茨表示，相关哨所仍将维持不定期的时间。",黎巴嫩南部的重建需要多长时间？,3至5年。
"标题：在岸人民币兑美元较周二夜盘收盘涨25点
内容：【在岸人民币兑美元较周二夜盘收盘涨25点】在岸人民币兑美元（CNY）北京时间03:00收报7.2681元，较周二夜盘收盘涨25点。成交量374.25亿美元。",在岸人民币兑美元较周二夜盘收盘涨了多少点？,涨了25点。
"标题：扎克伯格游说特朗普 劝说特朗普不要对Meta Platforms实施反垄断审查
内容：扎克伯格游说特朗普，劝说特朗普不要对Meta Platforms实施反垄断审查。",扎克伯格为什么游说特朗普？,扎克伯格游说特朗普，劝说他不要对Meta Platforms实施反垄断审查。
"标题：特朗普公布关税前市场情绪紧张 美股三大指数低开高走
内容：特朗普公布关税前市场情绪紧张，美股三大指数低开高走，截至发稿，道指涨0.33%，纳指涨0.53%，标普500指数涨0.35%。个股方面，特斯拉涨超4%，第一季度交付量336681辆，不及市场预期。有消息称，美国总统特朗普告诉他身边的人，马斯克将很快离开。马斯克将在未来几周内从目前的政府效率部（DOGE）管理合伙人职位上退下来。",特斯拉第一季度的交付量是多少？,336681辆
"标题：马斯克旗下脑机接口公司Neuralink宣布 现在向全球开放病患登记
内容：马斯克旗下脑机接口公司Neuralink宣布，现在向全球开放病患登记。",马斯克的脑机接口公司Neuralink推出了什么新举措？,Neuralink现在向全球开放病患登记。
"标题：据报道 谷歌公司洽谈租赁英伟达的AI服务器
内容：据报道，谷歌公司洽谈租赁英伟达的AI服务器。",谷歌正在洽谈租赁哪家公司的AI服务器？,英伟达
"标题：美股三大指数集体收涨 新股Newsmax跌超77%
内容：【美股三大指数集体收涨 新股Newsmax跌超77%】美股低开高走，三大指数集体收涨。纳指涨0.87%，标普500指数涨0.67%，道指涨0.56%。新股Newsmax跌超77%，该股此前两个交易日大涨超22倍。",美股新股Newsmax在大跌前两个交易日涨了多少倍？,超22倍。
"标题：纳斯达克中国金龙指数收跌0.09%
内容：【纳斯达克中国金龙指数收跌0.09%】纳斯达克中国金龙指数收跌0.09%。热门中概股涨跌互现，拼多多、爱奇艺、阿里巴巴跌超2%，蔚来跌超1%。涨幅方面，好未来、有道涨超4%，哔哩哔哩涨超1%。",纳斯达克中国金龙指数今天的涨跌幅是多少？,纳斯达克中国金龙指数收跌0.09%。
"标题：特朗普宣布美国对等关税计划 表示将签署对等关税行政命令
内容：特朗普宣布美国对等关税计划，表示将签署对等关税行政命令。",特朗普宣布了什么计划并表示将签署什么行政命令？,特朗普宣布了美国对等关税计划，并表示将签署对等关税行政命令。
"标题：美股期货短线拉升 纳指期货涨超1.5%
内容：【美股期货短线拉升 纳指期货涨超1.5%】美股期货短线拉升，纳指期货涨超1.5%，道指期货涨超1%，标普500指数期货涨1.2%。",美股期货短线拉升时，纳指期货的涨幅超过了多少？,1.5%
"标题：特朗普称泰国、越南和印度征收高关税
内容：特朗普称泰国、越南和印度征收高关税。",特朗普提到哪些国家征收高关税？,泰国、越南和印度。
"标题：特朗普重申汽车关税 称对外国汽车征收25%的关税午夜生效
内容：特朗普重申汽车关税，称对外国汽车征收25%的关税午夜生效。",特朗普对外国汽车征收的关税税率是多少？,25%
"标题：墨西哥比索和巴西雷亚尔在特朗普讲话之际抹去跌幅
内容：墨西哥比索和巴西雷亚尔在特朗普讲话之际抹去跌幅。",特朗普讲话时，哪些货币抹去了跌幅？,墨西哥比索和巴西雷亚尔。
"标题：美国国债收益率升至日高 10年期收益率上涨6.6个基点至4.222%
内容：美国国债收益率升至日高，10年期收益率上涨6.6个基点至4.222%，2年期收益率上涨8.6个基点至3.949%。",美国10年期国债收益率上涨了多少个基点，达到多少百分比？,美国10年期国债收益率上涨了6.6个基点，达到4.222%。
"标题：比特币突破88000美元 日内涨1.6%
内容：比特币突破88000美元，日内涨1.6%。",比特币当前的价格是多少？,88000美元
"标题：欧元兑美元涨逾1% 至日内高点1.0924
内容：欧元兑美元涨逾1%，至日内高点1.0924。",欧元兑美元的日内高点是多少？,1.0924
"标题：美国将把所有国家的基准关税税率定为10%
内容：美国将把所有国家的基准关税税率定为10%。",美国计划将所有国家的基准关税税率设定为多少？,10%
"标题：美国将对欧盟和日本分别实施20%和24%的对等关税
内容：【美国将对欧盟和日本分别实施20%和24%的对等关税】特朗普展示的图表显示，对欧盟的关税为20%，对英国进口产品征收10%关税，对瑞士进口产品征收31%关税，对从印度进口的产品征收26%关税，对韩国产品征收25%关税，对日本进口产品征收24%关税，对越南产品征收46%关税。",美国将对日本进口产品征收多少关税？,24%
"标题：纽约期金首次触及3200美元/盎司
内容：【纽约期金首次触及3200美元/盎司】纽约期金首次触及3200美元/盎司，日内涨1.73%。现货黄金向上触及3140美元/盎司，日内涨0.84%。",纽约期金首次达到的价格是多少？,3200美元/盎司
"标题：英伟达和苹果股价盘后跌逾2%
内容：英伟达和苹果股价盘后跌逾2%。",英伟达和苹果股价盘后跌了多少？,跌逾2%。
"标题：纳指期货跌幅扩大至2.4%
内容：【纳指期货跌幅扩大至2.4%】美股期货持续走低，纳指期货跌幅扩大至2.4%，标普500指数期货跌1.6%。消息面上，特朗普展示的图表显示，美国将对欧盟和日本分别实施20%和24%的对等关税。",纳指期货的跌幅是多少？,2.4%
"标题：特朗普展示的图表显示：美国将对马来西亚征收24%的关税 将对孟加拉国征收37%的关税
内容：特朗普展示的图表显示，美国将对马来西亚征收24%的关税，将对孟加拉国征收37%的关税。",美国将对孟加拉国征收多少关税？,37%
"标题：美国对南非的对等关税为30%
内容：美国对南非的对等关税为30%。",美国对南非的对等关税是多少？,30%
"标题：美国对沙特阿拉伯的对等关税为10%
内容：美国对沙特阿拉伯的对等关税为10%。",美国对沙特阿拉伯的对等关税是多少？,10%
"标题：苹果公司美股盘后跌近5% 亚马逊跌超4% 英伟达跌超3%
内容：苹果公司美股盘后跌近5%，亚马逊跌超4%，英伟达跌超3%。",苹果公司美股盘后跌了多少？,苹果公司美股盘后跌近5%。
"标题：日经指数期货回吐涨幅 目前下跌0.5%
内容：日经指数期货回吐涨幅，目前下跌0.5%。",日经指数期货当前的涨跌幅是多少？,目前下跌0.5%。
"标题：特朗普展示的图表显示 美国对乌克兰的对等关税为10%
内容：特朗普展示的图表显示，美国对乌克兰的对等关税为10%。",美国对乌克兰的对等关税是多少百分比？,10%
"标题：特朗普的汽车关税将涵盖轿车、轻型卡车、发动机、变速器、锂离子电池以及包括轮胎
内容：特朗普的汽车关税将涵盖轿车、轻型卡车、发动机、变速器、锂离子电池以及包括轮胎、减震器和火花塞电线在内的小部件。",特朗普的汽车关税涵盖了哪些产品？,特朗普的汽车关税涵盖了轿车、轻型卡车、发动机、变速器、锂离子电池、轮胎、减震器和火花塞电线等小部件。
"标题：特朗普宣布对等关税税率后 美国两年期公债收益率跌至3.834%
内容：特朗普宣布对等关税税率后，美国两年期公债收益率跌至3.834%，为3月11日以来最低。",特朗普宣布对等关税税率后，美国两年期公债收益率跌至多少？,3.834%
"标题：美国继续对加拿大和墨西哥实施美墨加贸易协议关税豁免
内容：美国继续对加拿大和墨西哥实施美墨加贸易协议关税豁免。",美国对加拿大和墨西哥的美墨加贸易协议关税豁免是否仍在继续？,是的，美国继续对加拿大和墨西哥实施美墨加贸易协议关税豁免。
"标题：特朗普签署小额包裹和对等关税行政令
内容：特朗普签署小额包裹和对等关税行政令。",特朗普签署了什么行政令？,小额包裹和对等关税行政令
"标题：韩国3月外汇储备为4096.6亿美元 前值4092.1亿美元
内容：韩国3月外汇储备为4096.6亿美元，前值4092.1亿美元。",韩国3月的外汇储备是多少？,4096.6亿美元
"标题：美国官员表示：预计很快采取木材和铜制裁行动
内容：美国官员表示，预计很快采取木材和铜制裁行动。",美国官员表示即将对哪些商品采取制裁行动？,木材和铜
"标题：白宫高级官员表示：基准关税税率将于4月5日凌晨12:01生效 对等关税将于4月9日凌晨12:01生效
内容：白宫高级官员表示，基准关税税率将于4月5日凌晨12:01生效，对等关税将于4月9日凌晨12:01生效。",基准关税税率什么时候生效？,基准关税税率将于4月5日凌晨12:01生效。
"标题：比特币跌破85000美元 日内跌超2%
内容：比特币跌破85000美元，日内跌超2%。",比特币日内跌幅超过多少？,2%
"标题：国际黄金收盘续创新高
内容：【国际黄金收盘续创新高】国际黄金收盘续创新高。COMEX黄金期货涨1.41%，报3190.3美元/盎司，刷新历史新高。COMEX白银期货涨2.01%，报35美元/盎司。",国际黄金期货收盘价格是多少？,3190.3美元/盎司
"标题：离岸人民币兑美元跌幅扩大至0.5% 报7.3325
内容：离岸人民币兑美元跌幅扩大至0.5%，报7.3325。",离岸人民币兑美元的跌幅和当前报价是多少？,离岸人民币兑美元的跌幅扩大至0.5%，当前报价为7.3325。
"标题：白宫发布对等关税的事实清单 钢铝不在对等关税范围内
内容：白宫发布对等关税的事实清单，钢铝不在对等关税范围内，汽车及零部件不面临额外的对等关税。",钢铝产品是否在白宫发布的对等关税范围内？,不在。
"标题：美国财长贝森特表示：美国可能在5月或6月达到债务上限
内容：美国财长贝森特表示，美国可能在5月或6月达到债务上限。",美国可能在哪些月份达到债务上限？,5月或6月
"标题：最低10% 美国对等关税税率清单一览（图表）
内容：【最低10% 美国对等关税税率清单一览（图表）】美国总统特朗普2日在白宫签署两项关于所谓“对等关税”的行政令，宣布美国对贸易伙伴设立10%的“最低基准关税”，并对某些贸易伙伴征收更高关税。白宫高级官员表示，基准关税税率（10%）将于4月5日凌晨生效，对等关税将于4月9日凌晨生效，美墨加协定下的商品关税豁免将继续，对不符合美墨加协定的商品，关税仍维持在25%。以下是美国对部分国家和地区征收对等关税的具体税率清单。",美国对贸易伙伴设立的最低基准关税是多少？,10%
"标题：纳指期货跌幅扩大至4%
内容：【纳指期货跌幅扩大至4%】",纳指期货的跌幅达到了多少？,4%
"标题：苹果美股盘后大跌7.5% 特斯拉跌5% 英伟达跌4.4%
内容：苹果美股盘后大跌7.5%，特斯拉跌5%，英伟达跌4.4%。",苹果在美股盘后跌了多少？,7.5%
"标题：特朗普宣布国家紧急状态 全面征收关税
内容：【特朗普宣布国家紧急状态 全面征收关税】当地时间4月2日，美国白宫发表声明称，美国总统特朗普当日宣布国家紧急状态，以提高美国的竞争优势，保护美国主权，并加强美国国家和经济安全。",特朗普宣布国家紧急状态的目的是什么？,提高美国的竞争优势，保护美国主权，并加强美国国家和经济安全。
"标题：周四你需要知道的隔夜全球要闻
内容：【周四你需要知道的隔夜全球要闻】1、特朗普宣布实施“对等关税”措施，对贸易伙伴设立10%的“最低基准关税”，并对某些贸易伙伴征收更高关税。将对欧盟和日本分别实施20%和24%的对等关税。2、白宫高级官员表示，基准关税税率将于4月5日凌晨12:01生效，对等关税将于4月9日凌晨12:01生效。3、特朗普表示，对汽车征收的25%关税将于4月3日生效。",特朗普宣布的对欧盟和日本的对等关税分别是多少？,对欧盟的对等关税为20%，对日本的对等关税为24%。
"标题：加拿大总理卡尼表示：加拿大将于周四对美国的关税做出回应
内容：加拿大总理卡尼表示，加拿大将于周四对美国的关税做出回应。",加拿大将于哪一天对美国的关税做出回应？,周四
"标题：比特币跌破83000美元 日内跌超4%
内容：比特币跌破83000美元，日内跌超4%。",比特币日内跌幅超过多少百分比？,4%
"标题：韩国代总统召开会议讨论美国关税
内容：韩国代总统召开会议讨论美国关税。",韩国代总统召开了什么会议？,讨论美国关税的会议。
"标题：惠誉美国经济研究主管表示：美国目前对所有进口商品的关税税率约为22%
内容：惠誉美国经济研究主管表示，美国目前对所有进口商品的关税税率约为22%，而2024年为2.5%。",美国目前对所有进口商品的关税税率大约是多少？,22%
"标题：周四（4月3日）重点关注财经事件和经济数据
内容：【周四（4月3日）重点关注财经事件和经济数据】①09:45 中国3月财新服务业PMI；②14:30 瑞士3月CPI月率；③15:50 法国3月服务业PMI终值等。",4月3日周四需要重点关注哪些财经事件和经济数据？,①09:45 中国3月财新服务业PMI；②14:30 瑞士3月CPI月率；③15:50 法国3月服务业PMI终值等。
"标题：现货黄金刷新历史高位 逼近3150美元/盎司
内容：现货黄金刷新历史高位，逼近3150美元/盎司。",现货黄金的价格逼近多少美元每盎司？,3150美元每盎司。
"标题：车网互动首批试点揭晓 商业化落地有望提速
内容：【车网互动首批试点揭晓 商业化落地有望提速】近日，四部门公布首批车网互动规模化应用试点名单，全国首次跨省车网互动（V2G）启动，商业化落地有望加速。",车网互动首批试点的公布涉及哪些部门？,四部门公布了车网互动首批试点名单。
"标题：这个文旅巨头3年亏损超260亿元 承载了几代人记忆的欢乐谷能否冲破“迪士尼们”的围攻？
内容：【这个文旅巨头3年亏损超260亿元 承载了几代人记忆的欢乐谷能否冲破“迪士尼们”的围攻？】近日，文旅行业龙头企业华侨城A（SZ000069）发布2024年年报。2024年，公司实现营收544.07亿元，同比下降2.40%；归属于上市公司股东的净亏损为86.62亿元，同比增亏33.42%。记者注意到，2022年至2024年，华侨城A已累计亏损超过260亿元。",华侨城A在2022年至2024年期间累计亏损了多少亿元？,超过260亿元。
"标题：长安马自达MAZDA 6e车型正式下线
内容：【长安马自达MAZDA 6e车型正式下线】据长安马自达消息，4月2日，在长安马自达南京工厂，MAZDA EZ-6全球化车型MAZDA 6e正式下线，标志着这款全球化战略车型正式进入量产阶段。与此同时，南京工厂作为新能源整车出口中心正式启动，未来生产的MAZDA 6e将同步供应欧洲、东南亚等全球市场。",长安马自达MAZDA 6e车型在哪座工厂正式下线？,长安马自达南京工厂。
"标题：特朗普公布对等关税决定后 美股市场风格是否会有所转变？
内容：【特朗普公布对等关税决定后 美股市场风格是否会有所转变？】经过数周紧张的预期和股市波动，特朗普在2日收盘后宣布一揽子全面关税。目前尚不清楚这一宣布是否会为市场提供确定性，或者标志着全球贸易战的新篇章。由于外界对全球经济放缓甚至衰退的担忧上升，避险资产近期表现不俗，市场人士也在关注风险偏好未来的变化前景。",特朗普在什么时间宣布了一揽子全面关税？,特朗普在2日收盘后宣布了一揽子全面关税。
"标题：澳大利亚S&P/ASX200指数开盘下跌1.88%
内容：澳大利亚S&P/ASX200指数4月3日（周四）开盘下跌149.30点，跌幅1.88%，报7785.20点。",澳大利亚S&P/ASX200指数在4月3日开盘下跌了多少点？,149.30点
"标题：美国短期利率期货上涨 交易员认为美联储今年第四次降息的可能性接近50%
内容：美国短期利率期货上涨，交易员认为美联储今年第四次降息的可能性接近50%，而早先的预期是降息三次。",美联储今年第四次降息的可能性是多少？,接近50%。
"标题：特朗普关税乱拳开打 为何美国自己被打进了“国家紧急状态”
内容：【特朗普关税乱拳开打 为何美国自己被打进了“国家紧急状态”】当地时间4月2日，美国总统特朗普在白宫宣布对贸易伙伴征收所谓的“对等关税”措施。此外，特朗普当日还宣布国家紧急状态。",特朗普在白宫宣布了什么措施？,特朗普在白宫宣布对贸易伙伴征收所谓的“对等关税”措施，并宣布国家紧急状态。
"标题：腾讯大手笔回购！一季度斥资171亿港元 超去年同期
内容：【腾讯大手笔回购！一季度斥资171亿港元 超去年同期】随着2025年一季度收官，腾讯控股（00700，HK）回购数据进一步浮出水面。记者注意到，港交所公开信息显示，截至3月31日，腾讯一季度累计回购4298.4万股，耗资超171.2亿港元，超越了去年同期的148亿港元，同比增长15.67%。",腾讯控股在2025年一季度回购股票耗资多少亿港元？,171.2亿港元。
"标题：锡价大幅走升逼近30万元/吨关口 这家上市公司晒成绩单：小幅盈利
内容：【锡价大幅走升逼近30万元/吨关口 这家上市公司晒成绩单：小幅盈利】云南有色金属上市公司陆续发布2024年年报。锡业股份4月2日晚间发布的年报数据显示，公司去年实现营业收入419.73亿元，同比下降0.91%；归属于上市公司股东的净利润为14.44亿元，同比增长2.55%。",锡业股份2024年的净利润是多少？,14.44亿元。
