question,contexts,answer,ground_truth
特朗普公布关税前美股三大指数的表现如何？,"['标题：特朗普公布关税前市场情绪紧张 美股三大指数低开高走\n内容：特朗普公布关税前市场情绪紧张，美股三大指数低开高走，截至发稿，道指涨0.66%，纳指涨1.06%，标普500指数涨0.74%。个股方面，特斯拉涨超3%，第一季度交付量336681辆，不及市场预期。有消息称，美国总统特朗普告诉他身边的人，马斯克将很快离开。马斯克将在未来几周内从目前的政府效率部（DOGE）管理合伙人职位上退下来。', '标题：特朗普公布关税前市场情绪紧张 美股三大指数低开高走\n内容：特朗普公布关税前市场情绪紧张，美股三大指数低开高走，截至发稿，道指涨0.74%，纳指涨1.27%，标普500指数涨0.88%。个股方面，特斯拉涨超3%，第一季度交付量336681辆，不及市场预期。有消息称，美国总统特朗普告诉他身边的人，马斯克将很快离开。马斯克将在未来几周内从目前的政府效率部（DOGE）管理合伙人职位上退下来。']",在特朗普公布关税前，市场情绪紧张，美股三大指数低开高走。具体表现为：道指涨0.74%，纳指涨1.27%，标普500指数涨0.88%。,特朗普公布关税前市场情绪紧张，美股三大指数低开高走。截至发稿，道指涨0.66%，纳指涨1.06%，标普500指数涨0.74%。
马斯克什么时候会离开政府效率部？,"['标题：白宫新闻秘书LEAVITT：马斯克将在他的工作完成后离开政府效率部\n内容：白宫新闻秘书LEAVITT表示，马斯克将在他的工作完成后离开政府效率部。', '标题：“他想回去” 特朗普暗示马斯克和政府效率部工作将结束\n内容：【“他想回去” 特朗普暗示马斯克和政府效率部工作将结束】当地时间3月31日，美国总统特朗普暗示，特斯拉CEO埃隆·马斯克可能在不久后将结束白宫高级顾问和政府效率部（DOGE）的工作。']",马斯克将在他的工作完成后离开政府效率部。具体时间未明确说明，但特朗普曾暗示这一离开可能会在不久后发生。,在他的工作完成后。
亚马逊的日内涨幅达到了多少？,"['标题：亚马逊日内涨幅扩大至3%\n内容：【行情】亚马逊日内涨幅扩大至3%。', '标题：以太坊上破1900美元 日内上涨3.4%\n内容：以太坊上破1900美元，日内上涨3.4%；比特币涨近2%报85000美元。']",亚马逊的日内涨幅扩大至3%。,3%
亚马逊计划发送多少枚Kuiper卫星到近地点低轨道？,"['标题：亚马逊：将发送27枚Kuiper卫星到近地点低轨道\n内容：【亚马逊：将发送27枚Kuiper卫星到近地点低轨道】亚马逊表示，将发送27枚Kuiper卫星到近地点低轨道。4月9日（下周三）将发射（一系列）Kuiper宽频卫星。', '标题：受恶劣天气影响 亚马逊首批Kuiper卫星发射计划推迟\n内容：云财经讯，受恶劣天气影响，ULA Atlas V火箭搭载亚马逊首批Kuiper卫星的发射计划被取消。新发射日期将在之后公布。亚马逊此前于上周表示，预计今年晚些时候将开始向客户提供卫星互联网服务。亚马逊的Kuiper计划目标将超3200颗卫星送入近地轨道。']",亚马逊计划发送27枚Kuiper卫星到近地点低轨道。此外，亚马逊的Kuiper计划目标是将超过3200颗卫星送入近地轨道。不过，首批发射因恶劣天气影响而被推迟，新的发射日期将在之后公布。,27枚。
美联储隔夜逆回购协议在周三的使用规模是多少？,"['标题：周三美联储隔夜逆回购协议（RRP）使用规模为2334.88亿美元\n内容：周三美联储隔夜逆回购协议（RRP）使用规模为2334.88亿美元。', '标题：周二美联储隔夜逆回购协议（RRP）使用规模为2300.63亿美元\n内容：周二美联储隔夜逆回购协议（RRP）使用规模为2300.63亿美元。']",周三美联储隔夜逆回购协议（RRP）的使用规模为2334.88亿美元。,2334.88亿美元。
特斯拉第一季度的交付量是多少？,"['标题：特斯拉第一季度交付量336681辆 预估390343辆\n内容：特斯拉第一季度交付量336681辆，预估390343辆。', '标题：意大利交通部数据显示 特斯拉第一季度的新车注册量下降了6.75%\n内容：意大利交通部数据显示，特斯拉第一季度的新车注册量下降了6.75%。']",特斯拉第一季度的交付量为336681辆。,336681辆
加拿大跨山输油管道对2025年的容量预测是多少？,"['标题：加拿大跨山输油管道下调了2025年、2026年和2027年的收入预测\n内容：【加拿大跨山输油管道下调了2025年、2026年和2027年的收入预测】加拿大跨山输油管道下调了2025年、2026年和2027年的收入预测。预测2025年容量为84%，2026年为88%，2027年为92%，低于之前预测的96%。', '标题：今年我国将新建油气管道超2000公里\n内容：记者从中国国际管道会议上获悉，油气“全国一张网”建设稳步推进，2025年我国将新建管道超2000公里。今年以来，我国油气管网基础设施加速建设。虎林至长春天然气管道干线工程主体焊接完成、川气东送二线东段工程全面推进、福建与广东天然气管网...']",加拿大跨山输油管道对2025年的容量预测为84%。,84%
以色列总理内塔尼亚胡提到的“莫拉格走廊”连接加沙地带的哪两个地方？,"['标题：以总理称将打造第二个“费城走廊” 分割加沙地带\n内容：【以总理称将打造第二个“费城走廊” 分割加沙地带】当地时间4月2日下午，以色列总理内塔尼亚胡发表视频讲话。他表示，在对加沙地带的军事行动中，以军除占领土地、打击武装人员及摧毁基础设施之外，正在夺取所谓的“莫拉格走廊”（Morag Corridor）。所谓的“莫拉格走廊”是指连接加沙地带南部拉法与汗尤尼斯之间的通道。内塔尼亚胡在讲话中将以军针对“莫拉格走廊”的行动形容为打造第二个“费城走廊”，而“费城走廊”则是指连接加沙地带和埃及的战略通道。内塔尼亚胡在讲话中强调，以军正在逐步施加军事压力、分割加沙地带，以不断向哈马斯施压，直到其释放以色列被扣押人员为止。他表示，以色列决心实现其战争目标。', '标题：以防长称加沙南部整个拉法地区将成为安全缓冲区\n内容：据以色列媒体9日报道，以国防部长卡茨当天表示，以军将完全控制加沙地带南部“莫拉格走廊”与“费城走廊”之间的区域，将整个拉法地区设为安全缓冲区。以色列《耶路撒冷邮报》报道说，以军新设立的“莫拉格走廊”旨在将拉法与加沙其他地区隔离开...']",        “莫拉格走廊”连接加沙地带南部的拉法与汗尤尼斯之间。,连接加沙地带南部的拉法与汗尤尼斯之间的通道。
为什么新能源企业正在加速建设？,"['标题：光伏组件厂家“爆单”！新能源项目现“抢装潮”？业内人士分析\n内容：【光伏组件厂家“爆单”！新能源项目现“抢装潮”？业内人士分析】在电力市场，多个部门今年出台改革方案，推动我国新能源行业全面步入市场化新阶段。新政策执行新老划断，2025年6月1日以前投产的新能源存量项目，通过开展差价结算，实现电价与现行政策妥善衔接；6月1日及以后投产的新能源增量项目将参与市场化交易。记者在江苏、广东等地调研发现，大量新能源企业为了追求存量政策的保障，正在加速建设。', '标题：国家能源局：加快构建汽车与电网融合发展的新生态\n内容：【国家能源局：加快构建汽车与电网融合发展的新生态】国家能源局有关负责人在2025中国电动汽车百人会论坛上表示，要加快科技创新，加快构建汽车与电网融合发展的产业新生态。截至2024年底，全国充电基础设施总量达到1281.8万台，同比增长了49.1%；各类充电运营商已超过一万家，整个行业呈现出爆发式的增长。下一步，国家能源局将持续推动充电设施补短板建设，重点加快充电领域新技术、新业态的创新培育。']",这是因为2025年6月1日之前投产的新能源存量项目可以通过开展差价结算，实现电价与现行政策妥善衔接，享有政策保障。而6月1日及以后投产的新能源增量项目将参与市场化交易，可能面临更大的市场风险和不确定性。因此，大量新能源企业为了追求存量政策的保障，正在加速建设。,为了追求存量政策的保障，新能源企业正在加速建设，特别是在2025年6月1日之前投产的存量项目可以通过差价结算实现电价与现行政策的妥善衔接。
特斯拉第一季度的交付量是多少？,"['标题：特斯拉第一季度交付量336681辆 预估390343辆\n内容：特斯拉第一季度交付量336681辆，预估390343辆。', '标题：意大利交通部数据显示 特斯拉第一季度的新车注册量下降了6.75%\n内容：意大利交通部数据显示，特斯拉第一季度的新车注册量下降了6.75%。']",特斯拉第一季度的交付量是336681辆。,特斯拉第一季度的交付量为336681辆。
安联首席经济学家预测美联储在2025年会降息几次？,"['标题：安联首席经济学家：预计美联储将在2025年降息一次\n内容：【安联首席经济学家：预计美联储将在2025年降息一次】安联首席顾问埃尔埃利安预计美联储今年只会降息一次，这与市场和美联储的预期形成了鲜明对比。市场已经完全定价了2025年至少两次降息的预期，而且很可能还会有第三次降息。总的来说，他们预计今年将降息约70个基点，7月份首次降息25个基点。与此同时，美联储最新的点阵图只要求降息两次。埃利安说，美联储“本质上是鸽派”，他补充说，他担心美联储无视疲软的经济数据，在真正了解这些关税的细节以及各国将如何应对之前，称即将征收的关税是暂时的。', '标题：交易员完全定价美联储2025年将降息五次\n内容：交易员完全定价美联储2025年将降息五次。']",安联首席经济学家预测美联储在2025年会降息一次。,安联首席经济学家预测美联储在2025年会降息一次。
美国参议院多数党领袖舒默对特朗普政策持什么态度？,"['标题：美国参议院多数党领袖舒默：每天都在努力向公众传达特朗普政策对他们的负面影响\n内容：【美国参议院多数党领袖舒默：每天都在努力向公众传达特朗普政策对他们的负面影响】美国参议院多数党领袖舒默表示，每天都在努力向公众传达特朗普政策对他们的负面影响。在某些特定领域，确实有一些关税是合理的，但美国政府的笼统做法存在缺陷，缺乏仔细考虑。', '标题：美两党拟推动立法 阻止特朗普“关税大棒”\n内容：【美两党拟推动立法 阻止特朗普“关税大棒”】美国参议院中，已有七名共和党参议员支持限制特朗普单方面征收关税权力的法案，众议院也有共和党议员准备出台类似法案；特朗普政府威胁将否决该法案，若要绕过否决，法案需在参议院和众议院中获得三分之二的投票支持。']",美国参议院多数党领袖舒默对特朗普政策持批评态度。他每天都在努力向公众传达特朗普政策对他们产生的负面影响。舒默认为，在某些特定领域确实存在合理的关税，但特朗普政府采取的笼统做法存在缺陷，缺乏仔细考虑。,舒默每天都在努力向公众传达特朗普政策对他们的负面影响，认为美国政府在某些领域的笼统做法存在缺陷，缺乏仔细考虑。
特斯拉第一季度的交付量是多少？,"['标题：特斯拉第一季度交付量336681辆 预估390343辆\n内容：特斯拉第一季度交付量336681辆，预估390343辆。', '标题：意大利交通部数据显示 特斯拉第一季度的新车注册量下降了6.75%\n内容：意大利交通部数据显示，特斯拉第一季度的新车注册量下降了6.75%。']",特斯拉第一季度的交付量是336681辆。,336681辆。
特朗普与哪家律师事务所达成了提供无偿法律服务的协议？,"['标题：特朗普与米尔班克律师事务所达成协议\n内容：【特朗普与米尔班克律师事务所达成协议】美国总统特朗普周三表示，他已与米尔班克（Milbank）律师事务所达成协议，要求该事务所在他的第二任期内提供总额至少1亿美元的无偿法律服务。', '标题：特朗普废除美联邦雇员集体谈判权 美工会提起诉讼\n内容：【特朗普废除美联邦雇员集体谈判权 美工会提起诉讼】美国第二大联邦工会全国财政部雇员工会当地时间3月31日就美国总统特朗普撤销联邦部门集体谈判协议的行政命令起诉特朗普政府，称特朗普的命令超出权限，违反了法律。该工会主席表示，法律明确赋予联邦雇员集体谈判的权利，而这项行政命令以国家安全的名义废除了大多数雇员的这一权利。']",特朗普与米尔班克（Milbank）律师事务所达成了提供无偿法律服务的协议。,米尔班克（Milbank）律师事务所
丹麦首相在访问格陵兰岛时重申了什么立场？,"['标题：丹麦首相访问格陵兰岛 重申格陵兰岛是“非卖品”\n内容：【丹麦首相访问格陵兰岛 重申格陵兰岛是“非卖品”】丹麦首相弗雷泽里克森当地时间4月2日到访格陵兰岛。她在格陵兰岛首府努克举行的新闻发布会上表示，格陵兰岛正在经历非常困难的时期，“我们需要团结在一起”。她表示，当格陵兰岛陷入困境时，丹麦王国和欧洲也会陷入困境。格陵兰岛是“非卖品”。“格陵兰岛是格陵兰人的，美国不应该接管格陵兰岛。当然，这也是我们在接下来的几天里将共同传达的信息，鉴于美国在主权、边界和未来问题上对格陵兰岛施加的压力，我们必须站在一起。”', '标题：丹麦外交大臣：反对任何对格陵兰岛的主权要求\n内容：【丹麦外交大臣：反对任何对格陵兰岛的主权要求】正在比利时布鲁塞尔参加北约外长会的丹麦外交大臣拉斯穆森当地时间4月3日与美国国务卿鲁比奥举行会谈。会后拉斯穆森表示，丹麦反对任何对格陵兰岛的主权要求。同时丹麦可以与美国、格陵兰讨论共同关心的问题。北约应该更加关注北极局势。格陵兰岛位于北美洲东北部，是世界第一大岛。该岛是丹麦的自治领地，有高度自治权，国防和外交事务由丹麦政府掌管。美国总统特朗普今年上任以来多次扬言要得到格陵兰岛，并声称不排除动用武力的可能性。特朗普的要求遭到丹麦及格陵兰岛居民谴责和反对。']",丹麦首相弗雷泽里克森在访问格陵兰岛时重申了格陵兰岛是“非卖品”的立场。她强调格陵兰岛属于格陵兰人，美国不应该接管格陵兰岛，并表示鉴于美国在主权、边界和未来问题上对格陵兰岛施加的压力，丹麦与格陵兰必须团结一致。,格陵兰岛是“非卖品”，是格陵兰人的，美国不应该接管格陵兰岛。
国际原油期货结算价收涨，其中WTI 5月原油期货的涨幅是多少？,"['标题：国际原油期货结算价收涨\n内容：国际原油期货结算价收涨。WTI 5月原油期货收涨0.27美元，涨幅0.39%，报69.92美元/桶。', '标题：国际原油期货结算价大幅收涨\n内容：国际原油期货结算价大幅收涨。WTI 5月原油期货收涨2.12美元，涨幅3.06%，报71.48美元/桶。']",根据上下文信息，WTI 5月原油期货的涨幅有两个不同的值：一个是0.39%，另一个是3.06%。因此，具体涨幅取决于所指的具体日期。如果需要准确回答，可以提供更详细的日期信息。但从上下文中可得两个涨幅分别为0.39%和3.06%。,WTI 5月原油期货收涨0.51美元，涨幅0.72%，报71.71美元/桶。
黎巴嫩南部的重建需要多长时间？,"['标题：以防长称黎南部或需3至5年完成重建 届时民众才能返回\n内容：【以防长称黎南部或需3至5年完成重建 届时民众才能返回】以色列国防部长卡茨当地时间4月2日访问了以军在黎巴嫩南部设置的一处哨所。卡茨对随行记者证实，在此前以军发动的针对黎巴嫩南部的军事行动中，黎南部地区遭到大面积破坏，可能需要3到5年的时间才能完成重建，届时黎南部民众才能返回。在以黎达成停火之后，今年2月，以军从黎南部撤离，但在黎方一侧建立并保持5个军事哨所。对此，卡茨表示，相关哨所仍将维持不定期的时间。', '标题：近东救济工程处：以军疏散令将影响超14万加沙民众 加剧困境\n内容：【近东救济工程处：以军疏散令将影响超14万加沙民众 加剧困境】联合国近东巴勒斯坦难民救济和工程处（近东救济工程处）负责人菲利普·拉扎里尼31日表示，以军当天在加沙地带南部拉法发布的大规模疏散令将影响到超过14万民众，将进一步加剧当地民众的困境。以色列国防机构消息人士当天表示，为了向巴勒斯坦伊斯兰抵抗运动（哈马斯）施压、促使其接受以色列提出的停火提议，以军向加沙南部拉法及周边地区发布了大规模疏散令。以色列媒体报道称，这是自3月18日恢复加沙战事以来，以色列国防军发布的最大范围撤离命令。']",黎巴嫩南部的重建可能需要3到5年的时间才能完成。,3至5年。
在岸人民币兑美元较周二夜盘收盘涨了多少点？,"['标题：在岸人民币兑美元较周二夜盘收盘涨25点\n内容：【在岸人民币兑美元较周二夜盘收盘涨25点】在岸人民币兑美元（CNY）北京时间03:00收报7.2681元，较周二夜盘收盘涨25点。成交量374.25亿美元。', '标题：在岸人民币对美元较上一交易日夜盘收涨60个基点\n内容：【在岸人民币对美元较上一交易日夜盘收涨60个基点】在岸人民币对美元夜盘收报7.2570，较上一交易日夜盘收涨60个基点，成交量467.52亿美元。']",在岸人民币兑美元较周二夜盘收盘涨了25点。,涨了25点。
扎克伯格为什么游说特朗普？,"['标题：扎克伯格游说特朗普 劝说特朗普不要对Meta Platforms实施反垄断审查\n内容：扎克伯格游说特朗普，劝说特朗普不要对Meta Platforms实施反垄断审查。', '标题：对冲基金巨头：美对全球发动经济核战 美国走向一个自我引发的经济核冬天\n内容：【对冲基金巨头：美对全球发动经济核战 美国走向一个自我引发的经济核冬天】当地时间4月6日，曾在2024年美国总统大选中“倒戈”支持特朗普的美国亿万富翁、知名对冲基金经理比尔·阿克曼在社交媒体上发帖称，特朗普政府因其关税政策“正在失去全球商界领袖的信心”，应该暂停贸易战。']",扎克伯格游说特朗普，目的是劝说特朗普不要对Meta Platforms实施反垄断审查。,扎克伯格游说特朗普，劝说他不要对Meta Platforms实施反垄断审查。
特斯拉第一季度的交付量是多少？,"['标题：特斯拉第一季度交付量336681辆 预估390343辆\n内容：特斯拉第一季度交付量336681辆，预估390343辆。', '标题：意大利交通部数据显示 特斯拉第一季度的新车注册量下降了6.75%\n内容：意大利交通部数据显示，特斯拉第一季度的新车注册量下降了6.75%。']",特斯拉第一季度的交付量是336681辆。,336681辆。
马斯克的脑机接口公司Neuralink现在提供了什么新举措？,"['标题：马斯克旗下脑机接口公司Neuralink宣布 现在向全球开放病患登记\n内容：马斯克旗下脑机接口公司Neuralink宣布，现在向全球开放病患登记。', '标题：谷歌推出全新智能体开放协议A2A\n内容：当地时间4月9日，谷歌在Google Cloud Next 25大会上推出Agent2Agent 协议(A2A)，这是一项全新的开放标准，旨在让AI智能体能够相互通信。此前，Anthropic的模型上下文协议(MCP) 为智能体提供了一种结构化的工具使用方式，而A2A则为智能体提供了一种相互协作的方式，将孤立的机器人转变为数字工作团队。此外，谷歌还在发布了全新AI处理器Ironwood，这是其定制TPU架构的第七代产品。']",Neuralink现在向全球开放病患登记。,Neuralink现在向全球开放病患登记。
谷歌正在洽谈租赁哪家公司的AI服务器？,"['标题：据报道 谷歌公司洽谈租赁英伟达的AI服务器\n内容：据报道，谷歌公司洽谈租赁英伟达的AI服务器。', '标题：谷歌推出全新智能体开放协议A2A\n内容：当地时间4月9日，谷歌在Google Cloud Next 25大会上推出Agent2Agent 协议(A2A)，这是一项全新的开放标准，旨在让AI智能体能够相互通信。此前，Anthropic的模型上下文协议(MCP) 为智能体提供了一种结构化的工具使用方式，而A2A则为智能体提供了一种相互协作的方式，将孤立的机器人转变为数字工作团队。此外，谷歌还在发布了全新AI处理器Ironwood，这是其定制TPU架构的第七代产品。']",谷歌正在洽谈租赁英伟达的AI服务器。,英伟达
美股新股Newsmax在大涨后跌幅是多少？,"['标题：Newsmax延续下跌 跌幅达50%\n内容：Newsmax延续下跌，跌幅达50%，报116美元/股。', '标题：美股三大指数集体收涨 新股Newsmax跌超77%\n内容：【美股三大指数集体收涨 新股Newsmax跌超77%】美股低开高走，三大指数集体收涨。纳指涨0.87%，标普500指数涨0.67%，道指涨0.56%。新股Newsmax跌超77%，该股此前两个交易日大涨超22倍。']",美股新股Newsmax在大涨后跌幅超过77%。,美股新股Newsmax在大涨后跌超77%。
纳斯达克中国金龙指数今天涨跌情况如何？,"['标题：纳斯达克中国金龙指数跌幅达2%\n内容：【行情】纳斯达克中国金龙指数跌幅扩大，现跌2.0%，最新报6394.97点。', '标题：纳斯达克中国金龙指数跌幅扩大至3%\n内容：【行情】纳斯达克中国金龙指数跌幅扩大，现跌3.0%，最新报6327.14点。']",纳斯达克中国金龙指数今天跌幅扩大，最初跌幅达到2.0%，最新报6394.97点。随后，跌幅进一步扩大至3.0%，最新报6327.14点。,纳斯达克中国金龙指数收跌0.09%。
特朗普宣布了什么计划并将签署什么行政命令？,"['标题：特朗普签署行政令振兴造船业\n内容：云财经讯，美国总统特朗普周三签署了一项行政命令，这项命令旨在重振美国萎靡不振的造船业。该行政令将授权国家安全顾问华尔兹和各政府机构负责人在最多七个月时间内制定计划，以重振国内造船业和加强海事从业人员储备。', '标题：有消息称特朗普将于周二签署行政命令提振煤炭行业\n内容：有消息称，特朗普将于周二签署行政命令提振煤炭行业。']",特朗普宣布了重振美国造船业的计划，并将签署一项行政命令以实现这一目标。此外，还有消息称特朗普还将签署另一项行政命令，旨在提振煤炭行业。,特朗普宣布了美国对等关税计划并将签署对等关税行政命令。
美股期货短线拉升时，纳指期货涨了多少？,"['标题：美股期货短线拉升 纳指期货涨超1.5%\n内容：【美股期货短线拉升 纳指期货涨超1.5%】美股期货短线拉升，纳指期货涨超1.5%，道指期货涨超1%，标普500指数期货涨1.2%。', '标题：美股股指期货涨幅扩大\n内容：美股股指期货涨幅扩大，道指期货涨超1%，标普500指数期货上涨0.78%，纳指期货上涨0.88%。']",纳指期货涨超1.5%。,纳指期货涨超1.5%。
特朗普指责哪些国家征收高关税？,"['标题：特朗普称泰国、越南和印度征收高关税\n内容：特朗普称泰国、越南和印度征收高关税。', '标题：特朗普：印度是“关税最高”的国家之一\n内容：特朗普表示，印度是“关税最高”的国家之一。']",特朗普指责泰国、越南和印度征收高关税，并特别指出印度是“关税最高”的国家之一。,泰国、越南和印度。
